component__best_path__mean,component__bridge_coverage__mean,component__coherence__mean,component__coverage__mean,component__fragility__mean,component__redundancy__mean,component__score_raw__mean,graph_score_max,graph_score_mean,graph_score_min,graph_score_std,n_rows,n_success,paper_id,paper_key,rating,sheet,title,variant_id,variant_name
0.1450891741352058,0.21666666666666667,0.10416666666666667,0.041666666666666664,0.1862131603279557,0.20833333333333331,0.10834031948460811,0.6912590540744632,0.25834031996792745,0.1500000007,0.17547928371503996,64,64,000,Economics__000__co-integration-and-error-correction-representation-estimation-and-testing,Good,Economics,"Co-Integration and Error Correction: Representation, Estimation, and Testing",agg_softmin,Propagation aggregate = softmin
0.29911498787916396,0.35755494505494506,0.49537037037037035,0.375,0.11041303819029127,0.4583333333333333,0.30339256454202057,0.804652795479528,0.4533925646352354,0.1500000007,0.2865407726073513,64,64,001,Economics__001__likelihood-based-inference-in-cointegrated-models,Good,Economics,Likelihood-Based Inference in Cointegrated Models,agg_softmin,Propagation aggregate = softmin
0.48227183892218134,0.7777472527472528,0.9274987584167792,0.8571428571428571,0.12051027953894512,0.9523809523809524,0.6182495353996232,0.8616843970685278,0.7682495348631242,0.4205337453739838,0.141818014703794,56,56,002,Economics__002__a-simple-estimator-of-cointegrating-vectors,Good,Economics,A Simple Estimator of Cointegrating Vectors,agg_softmin,Propagation aggregate = softmin
0.4863491935980021,0.44116300366300365,0.8428571428571429,0.38095238095238093,0.19329958853164156,0.5714285714285714,0.4109783491307433,0.836121650263437,0.5609783490087865,0.23021942370074408,0.17154681260080828,56,56,003,Economics__003__the-time-interpretation-of-expected-utility-theory,Good (theory),Economics,The Time Interpretation of Expected Utility Theory,agg_softmin,Propagation aggregate = softmin
0.5221329833507848,0.7350694444444444,1.0,0.29166666666666663,0.0669807745642536,0.75,0.545920157430836,0.8134269408822353,0.6959201570389956,0.5273656650148238,0.10000750875619549,64,64,004,Economics__004__production-information-costs-and-economic-organization,Good,Economics,"Production, Information Costs, and Economic Organization",agg_softmin,Propagation aggregate = softmin
0.3882482813277857,0.7183760683760684,0.8329441391941392,0.625,0.07445697270579255,0.7916666666666666,0.5300319554395085,0.8285781630323723,0.6800319550794446,0.1500000007,0.204655849194657,64,64,005,Economics__005__almost-ideal-demand-system,Good,Economics,Almost Ideal Demand System,agg_softmin,Propagation aggregate = softmin
0.35732963423215863,0.5025510204081632,0.6847619047619047,0.5238095238095238,0.07398388384037294,0.619047619047619,0.4175868667983102,0.8254633768772812,0.5675868666631365,0.1500000007,0.2763849612794058,56,56,006,Economics__006__optimal-taxation-and-public-production,Good,Economics,Optimal Taxation and Public Production,agg_softmin,Propagation aggregate = softmin
0.44883242147067076,0.7317708333333334,0.875,0.7083333333333333,0.05868054732823629,0.8333333333333334,0.5696820649350989,0.8763854794608844,0.7196820644957347,0.1500000007,0.21885475735030943,64,64,007,Economics__007__national-debt-in-a-neoclassical-growth-model,Good,Economics,National Debt in a Neoclassical Growth Model,agg_softmin,Propagation aggregate = softmin
0.4908956663316059,0.8634561516914457,0.9698127958997524,0.9047619047619048,0.0675822088684222,0.8571428571428571,0.6444795218130939,0.8648214487931346,0.7944795212241348,0.6638297496269912,0.06280084573468765,56,56,008,Economics__008__survival-of-the-un-fittest-why-the-worst-infrastructure-gets-built-and-what-we-c,Good,Economics,Survival of the Un-fittest: Why the Worst Infrastructure Gets Built -- and What We Can Do About It,agg_softmin,Propagation aggregate = softmin
0.5394397007847795,0.7536114926739926,0.9861111111111112,0.9583333333333334,0.06351817424407552,0.7916666666666666,0.6269295166725262,0.8772007086161216,0.7769295161186671,0.5821265554304452,0.10206698432798088,64,64,009,Economics__009__the-colonial-origins-of-comparative-development-an-empirical-investigation,Good,Economics,The Colonial Origins of Comparative Development: An Empirical Investigation,agg_softmin,Propagation aggregate = softmin
