study_id,study_short_name,variant_id,variant_name,variant_kind,level,n_rows,n_success,graph_score_mean,graph_score_std,spearman_good_neutral_bad,auc_good_vs_bad
5,graph_component_ablation,base,Baseline,baseline,graph-head,8,8,0.7253042307871419,0.01357632970542517,nan,0.5
5,graph_component_ablation,zero_bridge_coverage,Zero graph component weight: bridge_coverage,graph_weight_zero,graph-head,8,8,0.6337389747161892,0.018101772940566904,nan,0.5
5,graph_component_ablation,zero_best_path,Zero graph component weight: best_path,graph_weight_zero,graph-head,8,8,0.7449416802836586,0.0041835173253159524,nan,0.5
5,graph_component_ablation,zero_redundancy,Zero graph component weight: redundancy,graph_weight_zero,graph-head,8,8,0.7944755655731082,0.015972152594617824,nan,0.5
5,graph_component_ablation,zero_fragility,Zero graph component weight: fragility,graph_weight_zero,graph-head,8,8,0.70580153369537,0.012281327668126295,nan,0.5
5,graph_component_ablation,zero_coherence,Zero graph component weight: coherence,graph_weight_zero,graph-head,8,8,0.6947824787634909,0.015084810783805755,nan,0.5
5,graph_component_ablation,zero_coverage,Zero graph component weight: coverage,graph_weight_zero,graph-head,8,8,0.7688565526894169,0.015084810783805727,nan,0.5
5,graph_component_ablation,only_best_path,best_path only,graph_weight_single_component,graph-head,8,8,0.6663918822975916,0.04175651407162937,nan,0.5
5,graph_component_ablation,only_bridge_coverage,bridge_coverage only,graph_weight_single_component,graph-head,8,8,0.9999999989999999,0.0,nan,0.5
5,graph_component_ablation,only_coherence,coherence only,graph_weight_single_component,graph-head,8,8,0.9999999989999999,0.0,nan,0.5
5,graph_component_ablation,only_coverage,coverage only,graph_weight_single_component,graph-head,8,8,0.3333333336666667,0.0,nan,0.5
