paper_id,sheet,title,rating,pdf_path,status,mean,stdev,min,max,n,first_failure_stage,first_failure_message
000,Economics,"Co-Integration and Error Correction: Representation, Estimation, and Testing",Good,data/pdfs/Economics/000__co-integration-and-error-correction-representation-estimation-and-testing.pdf,ok,0.12400835873673435,0.19969209093625553,0.0,0.6088947130277922,64,,
001,Economics,Likelihood-Based Inference in Cointegrated Models,Good,data/pdfs/Economics/001__likelihood-based-inference-in-cointegrated-models.pdf,ok,0.32611856450075316,0.30600494524610455,0.0,0.6976623744459068,64,,
002,Economics,A Simple Estimator of Cointegrating Vectors,Good,data/pdfs/Economics/002__a-simple-estimator-of-cointegrating-vectors.pdf,ok,0.6780647466442963,0.14739489325185187,0.31827499437064855,0.7680820150799417,56,dag_validation_failed,nodes[2] id error: Unsupported id type: <class 'NoneType'>
003,Economics,The Time Interpretation of Expected Utility Theory,Good (theory),data/pdfs/Economics/003__the-time-interpretation-of-expected-utility-theory.pdf,ok,0.44122015192157266,0.18505001370632237,0.09437579195433286,0.7609804188384373,56,dag_validation_failed,Node 8: unknown role 'Example'; Node 9: unknown role 'Example'; Node 10: unknown role 'Example'
004,Economics,"Production, Information Costs, and Economic Organization",Good,data/pdfs/Economics/004__production-information-costs-and-economic-organization.pdf,ok,0.5558130266887694,0.12989711599854123,0.35900881606656204,0.7081040940830914,64,,
005,Economics,Almost Ideal Demand System,Good,data/pdfs/Economics/005__almost-ideal-demand-system.pdf,ok,0.5602073746150315,0.2179881793976539,0.0,0.7254047919670518,64,,
006,Economics,Optimal Taxation and Public Production,Good,data/pdfs/Economics/006__optimal-taxation-and-public-production.pdf,ok,0.448657873303453,0.29981198074856247,0.0,0.732471442010313,56,dag_validation_failed,Node 10: unknown role 'Theorem'
007,Economics,National Debt in a Neoclassical Growth Model,Good,data/pdfs/Economics/007__national-debt-in-a-neoclassical-growth-model.pdf,ok,0.603567346281535,0.2356838134655068,0.0,0.7619200912174185,64,,
008,Economics,Survival of the Un-fittest: Why the Worst Infrastructure Gets Built -- and What We Can Do About It,Good,data/pdfs/Economics/008__survival-of-the-un-fittest-why-the-worst-infrastructure-gets-built-and-what-we-c.pdf,ok,0.7075171280391935,0.0734672674969093,0.5496036273976282,0.7985818079636172,56,dag_validation_failed,Node 14: unknown role 'Recommendation'
009,Economics,The Colonial Origins of Comparative Development: An Empirical Investigation,Good,data/pdfs/Economics/009__the-colonial-origins-of-comparative-development-an-empirical-investigation.pdf,ok,0.6947843555712526,0.1116910818898121,0.4690983435286086,0.7926548709831506,64,,
010,Economics,Political selection and persistence of bad governments,Neutral,data/pdfs/Economics/010__political-selection-and-persistence-of-bad-governments.pdf,ok,0.4741986489693699,0.3088483942796313,0.0,0.7816074081848988,56,dag_validation_failed,Node 11: unknown role 'Mechanism'
011,Economics,Monetary economics from econophysics perspective,Neutral,data/pdfs/Economics/011__monetary-economics-from-econophysics-perspective.pdf,ok,0.7055845068889587,0.05705684668983725,0.628365466780819,0.8306548625375453,64,,
012,Economics,Expected Growth Criterion: An Axiomatization,Neutral,data/pdfs/Economics/012__expected-growth-criterion-an-axiomatization.pdf,ok,0.610409377989,0.1030813315074744,0.40885000647485653,0.7624210851930368,64,,
013,Economics,"Labour by Design: Contributions of David Card, Joshua Angrist, and Guido Imbens",Neutral,data/pdfs/Economics/013__labour-by-design-contributions-of-david-card-joshua-angrist-and-guido-imbens.pdf,ok,0.5941279151138873,0.0822967605900163,0.4978130476942849,0.772741104097103,64,,
014,Economics,"Hypothetical bias in stated choice experiments: Part I. Integrative synthesis of empirical 
evidence and conceptualisation of external validity",Neutral,data/pdfs/Economics/014__hypothetical-bias-in-stated-choice-experiments-part-i-integrative-synthesis-of-e.pdf,ok,0.5791259962220017,0.19660941925892397,0.11222765125718172,0.7481576370760419,64,,
015,Economics,"Physics and Financial Economics (1776-2014) Puzzles, Ising and Agent-Based models",Neutral,data/pdfs/Economics/015__physics-and-financial-economics-1776-2014-puzzles-ising-and-agent-based-models.pdf,ok,0.6478743669757563,0.12130334303169829,0.34884856193081876,0.7778583711091197,64,,
016,Economics,Ergodicity Economics in Plain English,Neutral,data/pdfs/Economics/016__ergodicity-economics-in-plain-english.pdf,ok,0.5619631090049185,0.25284444857506944,0.0,0.7543443315084865,64,,
017,Economics,State-level policy uncertainty and economic performance,Neutral,data/pdfs/Economics/017__state-level-policy-uncertainty-and-economic-performance.pdf,ok,0.6694170325700347,0.1358051740509246,0.33210751419280127,0.798761363564926,64,,
