study_id,study_short_name,variant_id,variant_name,variant_kind,level,n_rows,n_success,graph_score_mean,graph_score_std,spearman_good_neutral_bad,auc_good_vs_bad
2,node_role_ablation,base,Baseline,baseline,node-role,6480,6480,0.6507806803643709,0.21891990160116293,0.010726267205172018,0.5060144346431436
2,node_role_ablation,drop_role_evidence,Drop all Evidence nodes,drop_role_nodes,node-role,6480,6440,0.6320488892699787,0.20680523213325344,0.023949468743351292,0.5084202085004009
2,node_role_ablation,drop_role_method,Drop all Method nodes,drop_role_nodes,node-role,6480,6464,0.5955889052196125,0.21428336216379443,-0.03337451664822375,0.47794707297514033
2,node_role_ablation,drop_role_result,Drop all Result nodes,drop_role_nodes,node-role,6480,6448,0.6032100344498453,0.2126265542383251,-0.025977495220394744,0.483560545308741
2,node_role_ablation,drop_role_claim,Drop all Claim nodes,drop_role_nodes,node-role,6480,6448,0.6041932725434138,0.23499069876521989,0.0713091621956955,0.5485164394546913
2,node_role_ablation,drop_role_counterevidence,Drop all Counterevidence nodes,drop_role_nodes,node-role,6480,6480,0.6508458116137419,0.218888077279034,0.010726267205172018,0.5060144346431436
2,node_role_ablation,drop_role_limitation,Drop all Limitation nodes,drop_role_nodes,node-role,6480,6480,0.6541089836169093,0.2199510505388692,-0.00801832433698105,0.48997594226142743
2,node_role_ablation,drop_role_context,Drop all Context nodes,drop_role_nodes,node-role,6480,6480,0.6512642724266221,0.21889996387653873,-0.0020045810842452623,0.49799518845228546
2,node_role_ablation,drop_low_quality_quintile,Drop lowest-quality 20% nodes (per trial),drop_nodes_by_trial_quality_quantile,node-role,6480,6480,0.44438366905472515,0.2649467694082074,0.1481045463061675,0.5886126704089816
2,node_role_ablation,drop_high_quality_quintile,Drop highest-quality 20% nodes (per trial),drop_nodes_by_trial_quality_quantile,node-role,6480,6480,0.1519483692751673,0.023500936238710232,-0.0362677903677901,0.5020048115477145
